title,company,location,description
Biologist / Pharmacist / Medic (m/f/d) Regulatory Affairs – Medical Devices,SCC Scientific Consulting Company Chemisch-Wissens...,Bad Kreuznach,Your mission: in collaboration with your colleagues you will perform literature and database searches and identify and appraise pertinent data.
Digital Trainee@Deutsche Bahn (w/m/d),Übergreifend,Frankfurt am Main,"Kaufmännische Berufe, Ingenieurwesen, Informatik, Projektmanagement.Mit dem Traineeprogramm Digitalisierung lernst Du verschiedene Digitalisierungsprojekte der…"
Informatiker*in im Bereich Bildanalyse und Deep Learning,Fraunhofer-Gesellschaft,Sankt Augustin,Fraunhofer ist die größte Organisation für anwendungsorientierte Forschung in Europa und wurde 2019 in den Kategorien »Forschung« und »öffentlicher Sektor« des…
wiss. Mitarbeiter/in (m/w/d),Institut für Software and Systems Engineering,Clausthal-Zellerfeld,Am Institut für Software and Systems Engineering der Technischen Universität Clausthal ist ab sofort eine Stelle als.Applied Machine Learning and Simulation.
Postdoc position (f/m/d),Universität zu Köln,Köln,"Work within an international team of archaeologists and indigenous experts to collect data (GPS movement trajectories, velocity and caloric expenditure data,…"
People Operations Manager,Dalia Research GmbH,Berlin,"Founded in 2013 and headquartered in Berlin, Dalia harnesses the app economy and advanced data science to distribute millions of micro surveys worldwide to…"
Teamleitung User Experience für Sprachassistenz-Technologien,Fraunhofer-Gesellschaft,Sankt Augustin,Fraunhofer ist die größte Organisation für anwendungsorientierte Forschung in Europa und wurde 2019 in den Kategorien »Forschung« und »öffentlicher Sektor« des…
Market Performance Analyst m/f/d,DAZN Group,München,Work with the data science teams in market where required to complement these analyses with statistical studies or deeper dives.What's your new role about?
Embedded Software Developer (m/f/d) – Robotics,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
W3-Professorship for Cooperative Autonomous Systems in Real World Labs,Karlsruher Institut für Technologie,Karlsruhe,Computer science lectures and in advanced master courses.The processing of personal data by the Karlsruhe Institute of.KITG (KIT-Gesetz) shall apply.
Research Software Developer/Scientist (m/f/d) : deep learning for segmentation in X-ray tomography,Helmholtz-Zentrum Geesthacht Zentrum für Material-...,Hamburg,Experience with image data analysis and handling of large data sets.Application of the developed algorithms and services to user data.
Analyst (m/w/d) Business Intelligence (BI),ManpowerGroup,Düsseldorf,"Für unseren Kunden, die Metso: Outotec suchen wir als ManpowerGroup Solutions ab sofort einen Business Intelligence Analysten (m/w/d) im Großraum *Düsseldorf.…"
Wissenschaftliche Mitarbeitende (m/w/d) für unsere Informatik-Studiengänge,Hochschule der Wirtschaft,Elmshorn,Die NORDAKADEMIE ist die erste unmittelbar von der Wirtschaft gegründete und getragene.Sie bietet praxisnahe Studiengänge mit.
Application Administrator (*),Schenker AG,Essen,"Log data translation and import in Elasticsearch.At DB Schenker, you are part of a global logistics network that connects the world."
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,Supports and implements our mission to do great science.Please also note the information on the collection of personal data at.Closing date: 14 February 2021.
Junior Data Engineer (w/m/d),Deutsche Bahn,Frankfurt am Main,"Wenn es darum geht, zukünftig Millionen Fahrgäste und tausende Züge auch digital auf den Weg zu bringen, braucht es die besten IT-Experten."
Senior Data Engineer (m/w/d),C4 Connect Hamburg KG,München,"Develop batch- and streaming data pipelines in MS Azure from various data sources.Pre-process data, data cleaning and gap-filling with Python, Apache Spark and…"
Postdoc position (f/m/d),Land Nordrhein-Westfalen,Köln,"» work within an international team of archaeologists and indigenous experts to collect data (GPS movement trajectories, velocity and caloric expenditure data,…"
